Type;Description;Class;Path;Line;Severity;Rework;Context
641;"The return type of this method should be an interface such as ""Map"" rather than the implementation ""Hashtable"".";PropertyHelper.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/PropertyHelper.java;511;MAJOR;10;1
804;"Replace the synchronized class ""Hashtable"" by an unsynchronized one such as ""HashMap"".";PropertyHelper.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/PropertyHelper.java;511;MAJOR;20;1
804;"Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".";PropertyHelper.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/PropertyHelper.java;226;MAJOR;20;1
641;"The type of the ""keys"" object should be an interface such as ""Map"" rather than the implementation ""Hashtable"".";PropertyHelper.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/PropertyHelper.java;250;MAJOR;10;1
641;"The type of the ""userProperties"" object should be an interface such as ""Map"" rather than the implementation ""Hashtable"".";PropertyHelper.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/PropertyHelper.java;62;MAJOR;10;1
804;"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".";PropertyHelper.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/PropertyHelper.java;259;MAJOR;20;1
641;"The return type of this method should be an interface such as ""Map"" rather than the implementation ""Hashtable"".";PropertyHelper.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/PropertyHelper.java;491;MAJOR;10;1
804;"Replace the synchronized class ""Hashtable"" by an unsynchronized one such as ""HashMap"".";PropertyHelper.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/PropertyHelper.java;62;MAJOR;20;1
683;This block of commented-out lines of code should be removed.;PropertyHelper.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/PropertyHelper.java;596;MAJOR;60;1
641;"The return type of this method should be an interface such as ""Map"" rather than the implementation ""Hashtable"".";PropertyHelper.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/PropertyHelper.java;501;MAJOR;10;1
641;"The return type of this method should be an interface such as ""Map"" rather than the implementation ""Hashtable"".";PropertyHelper.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/PropertyHelper.java;482;MAJOR;10;1
804;"Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".";PropertyHelper.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/PropertyHelper.java;255;MAJOR;20;1
804;"Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".";PropertyHelper.java;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/PropertyHelper.java;572;MAJOR;20;1
