SATD;Path;Line;Priority
* An annotation that allows an image to be placed at some location on   * an {@link XYPlot}.  *   * TODO:  implement serialization properly (image is not serializable).;source/org/jfree/chart/annotations/XYImageAnnotation.java;67-72;1.0
TODO:  implement serialization properly (image is not serializable).;source/org/jfree/chart/annotations/XYImageAnnotation.java;71;1.0
FIXME cross hair does not work properly because a;swt/org/jfree/experimental/chart/swt/ChartComposite.java;564;0.5333333333333333
﻿TODO: add auto tick unit selection;experimental/org/jfree/experimental/chart/axis/LogAxis.java;75;0.43333333333333335
TODO: add auto tick unit selection;experimental/org/jfree/experimental/chart/axis/LogAxis.java;75;0.43333333333333335
TODO: number formatting options;experimental/org/jfree/experimental/chart/axis/LogAxis.java;76;0.43333333333333335
TODO: support for margins that get inherited from ValueAxis;experimental/org/jfree/experimental/chart/axis/LogAxis.java;74;0.43333333333333335
TODO: write JUnit tests;experimental/org/jfree/experimental/chart/axis/LogAxis.java;77;0.43333333333333335
TODO do we need this? gc.getBackground().dispose()-;swt/org/jfree/experimental/swt/SWTGraphics2D.java;543;0.4
TODO do we need this? gc.getFont().dispose()-;swt/org/jfree/experimental/swt/SWTGraphics2D.java;647;0.4
TODO do we need this? gc.getForeground().dispose()-;swt/org/jfree/experimental/swt/SWTGraphics2D.java;608;0.4
* A simple demonstration application showing a chart created using   * the {@link XYBlockRenderer}.  * <br><br>  * TODO: The chart needs a display showing the value scale.;experimental/org/jfree/experimental/chart/demo/XYBlockChartDemo1.java;28-33;0.26666666666666666
TODO: The chart needs a display showing the value scale.;experimental/org/jfree/experimental/chart/demo/XYBlockChartDemo1.java;32;0.26666666666666666
TODO: complete this;source/org/jfree/chart/block/ColumnArrangement.java;162;0.23333333333333334
TODO: complete this;source/org/jfree/chart/block/GridArrangement.java;145;0.23333333333333334
FIXME;experimental/org/jfree/experimental/chart/plot/dial/StandardDialScale.java;626;0.13333333333333333
FIXME: check;experimental/org/jfree/experimental/chart/plot/dial/StandardDialRange.java;138;0.13333333333333333
FIXME: check;experimental/org/jfree/experimental/chart/plot/dial/StandardDialRange.java;162;0.13333333333333333
FIXME: check;experimental/org/jfree/experimental/chart/plot/dial/StandardDialRange.java;186;0.13333333333333333
FIXME:  this code means that it is not possible to use more than;source/org/jfree/chart/plot/CombinedDomainCategoryPlot.java;523;0.13333333333333333
TODO:  the following hard-coded line needs generalising;source/org/jfree/chart/renderer/xy/XYDifferenceRenderer.java;832;0.13333333333333333
hack to ensure the newly created awt fonts will be rendered with the;swt/org/jfree/experimental/swt/SWTUtils.java;176;0.13333333333333333
hack to ensure the newly created swt fonts will be rendered with the;swt/org/jfree/experimental/swt/SWTUtils.java;106;0.13333333333333333
Note: It would be nice to pre-calculate this per series;source/org/jfree/chart/renderer/xy/CandlestickRenderer.java;588;0.11666666666666667
/ a kludge to make everything work when no rows returned;source/org/jfree/data/jdbc/JDBCXYDataset.java;361;0.1
FIXME try to replace swing print stuff by swt;swt/org/jfree/experimental/chart/swt/ChartComposite.java;1328;0.03333333333333333
TODO replace getSize by getBounds ?;swt/org/jfree/experimental/chart/swt/ChartComposite.java;929;0.016666666666666666
