SATD;Path;Line;Priority
FIXME BROKEN CODE;src/reports/org/apache/jmeter/report/gui/action/ReportStart.java;28;1.0
TODO: - Check property files don't have duplicate keys (is this important);test/src/org/apache/jmeter/testbeans/gui/PackageTest.java;47;0.5541904344010531
XXX;src/core/org/apache/jmeter/samplers/SampleSaveConfiguration.java;56;0.4216761737604212
* Custom TrustManager ignores all certificate errors  *  * TODO: implement conditional checking and logging  *  * (Derived from AuthSSLX509TrustManager in HttpClient contrib directory);src/core/org/apache/jmeter/util/CustomX509TrustManager.java;28-34;0.42079859587538393
TODO: implement conditional checking and logging;src/core/org/apache/jmeter/util/CustomX509TrustManager.java;31;0.2803861342694164
TODO : - implement ImageProducer interface - suggestions --);src/components/org/apache/jmeter/visualizers/Spline3.java;25;0.249670908293111
* TODO : - implement ImageProducer interface - suggestions --);src/components/org/apache/jmeter/visualizers/Spline3.java;24-26;0.249670908293111
"* Check if a string is a valid JMeter 'expression'.      * <p>      * The current implementation is very basic: it just accepts any string      * containing ""${"" as a valid expression. TODO: improve- but keep returning      * true for ""${}"".";src/core/org/apache/jmeter/testbeans/gui/WrapperEditor.java;250-256;0.249670908293111
TODO - does not appear to be used;src/core/org/apache/jmeter/gui/util/ButtonPanel.java;31;0.23211935059236508
TODO Currently- keyType and issuers are both ignored.;src/core/org/apache/jmeter/util/keystore/JmeterKeyStore.java;215;0.21017990346643264
* Compiles the list of all client aliases with a private key.      * TODO Currently- keyType and issuers are both ignored.      *      * @param keyType the key algorithm type name (RSA- DSA- etc.)      * @param issuers  the CA certificates we are narrowing our selection on.      *       * @return the array of aliases- may be empty;src/core/org/apache/jmeter/util/keystore/JmeterKeyStore.java;213-221;0.21017990346643264
TODO any point in checking the other headers?;test/src/org/apache/jmeter/protocol/http/sampler/TestHTTPSamplersAgainstHttpMirrorServer.java;1037;0.21017990346643264
TODO - more tests needed;test/src/org/apache/jmeter/protocol/http/util/accesslog/TestTCLogParser.java;24;0.19262834576568671
TODO? - N.B. does not currently allow the selection of a client certificate.;src/core/org/apache/jmeter/util/SSLManager.java;45;0.17683194383501535
TODO: improve- but keep returning;src/core/org/apache/jmeter/testbeans/gui/WrapperEditor.java;254;0.16630100921456778
TODO needs cleaning up;src/protocol/http/org/apache/jmeter/protocol/http/sampler/HTTPHC4Impl.java;778;0.16410706450197454
TODO - could this be return?;src/core/org/apache/jmeter/JMeter.java;392;0.14896884598508117
bail out.;src/core/org/apache/jmeter/gui/GuiPackage.java;334;0.14874945151382185
bail out.;src/core/org/apache/jmeter/gui/GuiPackage.java;338;0.14874945151382185
bail out.;src/core/org/apache/jmeter/gui/GuiPackage.java;342;0.14874945151382185
bail out.;src/reports/org/apache/jmeter/gui/ReportGuiPackage.java;311;0.14874945151382185
bail out.;src/reports/org/apache/jmeter/gui/ReportGuiPackage.java;315;0.14874945151382185
bail out.;src/reports/org/apache/jmeter/gui/ReportGuiPackage.java;319;0.14874945151382185
TODO - perhaps save other items such as headers?;src/core/org/apache/jmeter/reporters/ResultSaver.java;47;0.13646336112329968
TODO: does not actually prompt;src/core/org/apache/jmeter/util/JsseSSLManager.java;55;0.12681000438788942
TODO - not used at present - could perhaps be removed;src/core/org/apache/jmeter/samplers/Entry.java;29;0.12242211496270294
TODO: do we need to implement any kind of connection pooling?;src/protocol/jms/org/apache/jmeter/protocol/jms/sampler/SubscriberSampler.java;47;0.11810735702793623
TODO: needs a multiple file upload scenerio;src/protocol/http/org/apache/jmeter/protocol/http/sampler/HTTPHC4Impl.java;852;0.10925844668714349
TODO - needed?;src/protocol/http/org/apache/jmeter/protocol/http/sampler/HTTPHC4Impl.java;842;0.10925844668714349
// Set the content type TODO - needed?;src/protocol/http/org/apache/jmeter/protocol/http/sampler/HTTPHC4Impl.java;842;0.10925844668714349
TODO need more tests - particularly for the new functions;test/src/org/apache/jmeter/samplers/TestSampleResult.java;31;0.1066257130320316
TODO replace with proper Exception;src/components/org/apache/jmeter/assertions/HTMLAssertion.java;176;0.104870557261957
TODO improve this;src/protocol/ldap/org/apache/jmeter/protocol/ldap/sampler/LDAPSampler.java;426;0.104870557261957
TODO distinguish errors better //$NON-NLS-1$;src/protocol/ldap/org/apache/jmeter/protocol/ldap/sampler/LDAPSampler.java;459;0.104870557261957
*************************************************************************      * !ToDo (Method description)      *      * @param e      *            !ToDo (Parameter description)      * @return !ToDo (Return description)      *************************************************************************;src/protocol/ldap/org/apache/jmeter/protocol/ldap/sampler/LDAPExtSampler.java;703-709;0.09170688898639755
TODO should we call test listeners? That might hang too ...;src/core/org/apache/jmeter/engine/StandardJMeterEngine.java;299;0.08731899956121106
TODO : - Create a subpanel for other visualizers - connect to the properties. -;src/components/org/apache/jmeter/visualizers/MailerVisualizer.java;53;0.0785432207108381
public void testPostRequestChunked() throws Exception {         // TODO - implement testing of chunked post request     };test/src/org/apache/jmeter/protocol/http/control/TestHTTPMirrorThread.java;331-335;0.07181512359221882
Hack: save the package for any transaction controllers;src/core/org/apache/jmeter/threads/JMeterThread.java;403;0.06976744186046512
TODO add tests to check for: - name clash - long option abbreviations;test/src/org/apache/commons/cli/avalon/ClutilTestCase.java;963;0.06669591926283458
* TODO add tests to check for: - name clash - long option abbreviations      * (match shortest unique abbreviation);test/src/org/apache/commons/cli/avalon/ClutilTestCase.java;962-965;0.06669591926283458
TODO;src/protocol/ftp/org/apache/jmeter/protocol/ftp/sampler/FTPSampler.java;256;0.06592803861342694
TODO Add these some day;test/src/org/apache/jmeter/resources/PackageTest.java;284;0.05440982887231242
TODO ?? (JMeterTreeNode) selectedNode.clone()-;src/components/org/apache/jmeter/control/ModuleController.java;72;0.05221588415971917
TODO: Make the running indicator its own class instead of a JButton;src/core/org/apache/jmeter/gui/MainFrame.java;168;0.05221588415971917
TODO: actionHandler isn't used -- remove it from the parameter list;src/core/org/apache/jmeter/gui/MainFrame.java;165;0.05221588415971917
TODO ??;src/core/org/apache/jmeter/samplers/SampleResult.java;278;0.05221588415971917
TODO ??;src/core/org/apache/jmeter/samplers/SampleResult.java;291;0.05221588415971917
TODO ??;src/core/org/apache/jmeter/samplers/SampleResult.java;306;0.05221588415971917
TODO work out how to make shouldSerializeMember() conditionally return true.;src/core/org/apache/jmeter/save/converters/SampleSaveConfigurationConverter.java;38;0.05221588415971917
* Allow new fields to be added to the SampleSaveConfiguration without  * changing the output JMX file unless it is necessary.  *  * TODO work out how to make shouldSerializeMember() conditionally return true.;src/core/org/apache/jmeter/save/converters/SampleSaveConfigurationConverter.java;34-39;0.05221588415971917
Programming error: bail out.;src/core/org/apache/jmeter/testbeans/BeanInfoSupport.java;103;0.05221588415971917
Programming error: bail out.;src/core/org/apache/jmeter/testbeans/gui/WrapperEditor.java;235;0.05221588415971917
Programming error: bail out.;src/core/org/apache/jmeter/testbeans/gui/WrapperEditor.java;247;0.05221588415971917
TODO consider using private logs for each derived class;src/core/org/apache/jmeter/testelement/property/AbstractProperty.java;31;0.05221588415971917
TODO - convert this into an immutable class using plain variables;src/monitor/components/org/apache/jmeter/visualizers/MonitorStats.java;24;0.05221588415971917
TODO: find out how to retrieve these from the script;src/protocol/java/org/apache/jmeter/protocol/java/sampler/BSFSampler.java;73;0.05221588415971917
