SATD;Path;Line;Priority
* A dialect delegate for the Progress database. TODO: Progress specification says that the sum of all column  * lengths of a table row may not exceed 31960. Need to add an interface method to the HibernateDialect  * interface that takes an array of lengths and and checks the sum of columns for a row. This maximum number  * may be different across databases so this check method needs to be implemented by each dialect.  *   * @author manningr;fw/src/net/sourceforge/squirrel_sql/fw/dialects/ProgressDialectExt.java;37-44;2144.0
"* This class manages the windows for the application.  *  * TODO: Correct these notes  * <p>When a session closes the window manager will ensure that  * all of the windows for that sesion are closed.  * <p>Similarily when a window is closed the windows manager will ensure that  * references to the window are removed for the session.  *  * JASON: Prior to this patch there was some code movement from this class to  * Sessionmanager. The idea being that Sessionmanager was the controller.  * Do we still want to do this? Remember in the future there will probably be  * an SDI as well as MDI version of the windows.  *  * @author <A HREF=""mailto:colbell@users.sourceforge.net"">Colin Bell</A>  * @author <A HREF=""mailto:jmheight@users.sourceforge.net"">Jason Height</A>";app/src/net/sourceforge/squirrel_sql/client/gui/WindowManager.java;60-76;1930.0
* TODO: finish i18n;app/src/net/sourceforge/squirrel_sql/client/Application.java;03/mai;15.306.666.666.666.600
TODO: Put in all the property accessors;fw/src/net/sourceforge/squirrel_sql/fw/sql/DataTypeInfo.java;20;720.0
"* A dialect delegate for the TimesTen database.  * TODO: This dialect is not yet complete.  Need to provide implementations wherever ""Not yet implemented""  * appears.";fw/src/net/sourceforge/squirrel_sql/fw/dialects/TimesTenDialectExt.java;34-38;720.0
"* A dialect delegate for the Sun Microsystems HADB (High-Availability) database.  * TODO: This dialect is not yet complete.  Need to provide implementations wherever ""Not yet implemented""  * appears.  *   * @author manningr";fw/src/net/sourceforge/squirrel_sql/fw/dialects/HADBDialectExt.java;34-40;714.0
"* A dialect delegate for the Axion database.    * TODO: This dialect is not yet complete.  Need to provide implementations wherever ""Not yet implemented""  * appears.";fw/src/net/sourceforge/squirrel_sql/fw/dialects/AxionDialectExt.java;34-38;664.0
"* TODO: Get rid of this class.  * This combobox contains all the columns in an SQL table.  *  * @author <A HREF=""mailto:colbell@users.sourceforge.net"">Colin Bell</A>";plugins/mysql/src/net/sourceforge/squirrel_sql/plugins/mysql/gui/ColumnsComboBox.java;21-26;480.0
TODO : This test passes on Windows but fails on Linux with a;test/src/net/sourceforge/squirrel_sql/fw/util/FileTest.java;666;420.0
* TODO: JavaDoc  *   * @author Colin Bell;app/src/net/sourceforge/squirrel_sql/client/session/mainpanel/SQLHistoryComboBoxModel.java;29-33;390.0
TODO: RENAME to DataSetViewerPropertyDestination;fw/src/net/sourceforge/squirrel_sql/fw/datasetviewer/DataSetViewerPropertyPanel.java;25;290.0
TODO: Temporary until we sort out a better way to do guido's fix;test/src/net/sourceforge/squirrel_sql/client/session/SessionTest.java;160;240.0
TODO: Temporary until we sort out a better way to do guido's fix;test/src/net/sourceforge/squirrel_sql/client/session/SessionTest.java;165;240.0
This is a work-around for what looks like a bug to me - it is a syntax error to qualify with the;fw/src/net/sourceforge/squirrel_sql/fw/dialects/PostgreSQLDialectExt.java;815;240.0
// called so we've used a workaround. The workaround doesn't work in;app/src/net/sourceforge/squirrel_sql/client/gui/db/BaseListInternalFrame.java;221;240.0
sun implementation. Why on earth they couldnt formalise the tree;plugins/oracle/src/net/sourceforge/squirrel_sql/plugins/oracle/explainplan/ExplainPlanExecuter.java;321;160.0
"* TODO: Move all code other than for window creation up to AliasWindowManager  * Factory to handle creation of maintenance sheets for SQL Alias objects.  *  * @author <A HREF=""mailto:colbell@users.sourceforge.net"">Colin Bell</A>";app/src/net/sourceforge/squirrel_sql/client/gui/db/AliasWindowFactory.java;37-42;160.0
TODO: Need to add storageOptions to the add index dialog;fw/src/net/sourceforge/squirrel_sql/fw/dialects/SybaseDialectExt.java;621;140.0
* TODO: Clean this mess up!!!! Load plugins. Load all plugin jars into class loader.;app/src/net/sourceforge/squirrel_sql/client/plugin/PluginManager.java;396-398;130.0
using MockObjects, this is problematic since there are many;test/mockobjects/net/sourceforge/squirrel_sql/client/session/MockSession.java;126;120.0
TODO: Once we're happy that JFCUtilities is no longer required;fw/src/net/sourceforge/squirrel_sql/fw/gui/BasePopupMenu.java;27;120.0
TODO: Hard coded -. JDBC/ODBC bridge JDK1.4;fw/src/net/sourceforge/squirrel_sql/fw/datasetviewer/cellcomponent/CellComponentFactory.java;1028;120.0
TODO: Decide whether this should be a bound property or not.;fw/src/net/sourceforge/squirrel_sql/fw/sql/SQLDriver.java;336;120.0
TODO: check to be sure that the source and destination schemas are;plugins/dbcopy/src/net/sourceforge/squirrel_sql/plugins/dbcopy/actions/PasteTableAction.java;206;120.0
Setup preferences to make jGoodies LAF look better.;plugins/laf/src/net/sourceforge/squirrel_sql/plugins/laf/LAFPlugin.java;212;120.0
Hack to deal with Sybase's sys tables;plugins/dbcopy/test/net/sourceforge/squirrel_sql/plugins/dbcopy/MockSessionInfoProvider.java;148;120.0
a great work-around. I filed a bug report on the mailing list,;fw/src/net/sourceforge/squirrel_sql/fw/dialects/McKoiDialectExt.java;77;120.0
"* TODO: Move all code other than for window creation up to AliasWindowManager  * Factory to handle creation of maintenance sheets for SQL Driver objects.  *  * @author <A HREF=""mailto:colbell@users.sourceforge.net"">Colin Bell</A>";app/src/net/sourceforge/squirrel_sql/client/gui/db/DriverWindowFactory.java;38-43;120.0
"* Generates the qualified name (for example, ""SCHEMA.SIMPLENAME"").  This is highly database specific and     * should probably be moved into the dialects.     *        * @TODO Break out the dialect-specific logic into the dialects.  Allow for the default parts of the      * algorithm below to be used when a dialect is unavailable.       *        * @param md     * @return";fw/src/net/sourceforge/squirrel_sql/fw/sql/DatabaseObjectInfo.java;168-177;120.0
* Called when app shutdown.  * TODO: Put throws clause back in;app/src/net/sourceforge/squirrel_sql/client/plugin/IPlugin.java;50-53;120.0
why there is no isGenericDialect - it would always return true if there was one, making it useless.;fw/src/net/sourceforge/squirrel_sql/fw/dialects/DialectFactory.java;348;96.0
* SQLFilterAction.java  *  * Created on March 22, 2003, 10:55 AM  *  * Adapted from SessionPropertiesAction.java by Colin Bell.  *  * TODO: CHange name to ContentsTabFilterAction;app/src/net/sourceforge/squirrel_sql/client/session/action/SQLFilterAction.java;35-43;95.0
"message handler. TODO: This is a pain. PostgreSQL sends ""raise";app/src/net/sourceforge/squirrel_sql/client/session/SQLExecuterTask.java;562;80.0
"* This <CODE>ICommand</CODE> displays a dialog box that allows the user to  * enter a 'where' clause or an 'order by' clause used when getting data via  * the 'Contents' tab.  *  * @author <A HREF=""mailto:mjhammel@users.sourceforge.net"">Maury Hammel</A>  *  * TODO: Change name to ContentsTabFilterCommand";app/src/net/sourceforge/squirrel_sql/client/session/action/SQLFilterCommand.java;29-37;80.0
* Sorts the specified destInfos array based on the order of the sourceInfos      * array.  Not a very efficient algorthim, but it gets the job done.      * TODO: rewrite this using Collections sorting capability.      *       * @param sourceInfos      * @param destInfos      * @param sourceTableName      * @param destTableName      * @return a re-ordered version of the specified destInfos array      * @throws MappingException if the arrays differ in length or column names.;plugins/dbcopy/src/net/sourceforge/squirrel_sql/plugins/dbcopy/CopyExecutor.java;675-686;80.0
for now.  See the TODO in the MySQLDialect for getCreateIndexSQL.;test/external/net/sourceforge/squirrel_sql/fw/dialects/DialectExternalTest.java;1524;70.0
* Set the password for this alias.  *  * @param password The new password.  *  * @throws ValidationException  * TODO: What conditions?;fw/src/net/sourceforge/squirrel_sql/fw/sql/ISQLAlias.java;81-88;65.0
We know this fails - Bug# 1700093;test/src/net/sourceforge/squirrel_sql/fw/codereformat/CodeReformatorTest.java;70;60.0
TODO: set the total for the progress bar.;plugins/dbcopy/src/net/sourceforge/squirrel_sql/plugins/dbcopy/CopyProgressMonitor.java;467;60.0
TODO: Hard coded -. JDBC/ODBC bridge JDK1.4;fw/src/net/sourceforge/squirrel_sql/fw/sql/ResultSetReader.java;577;60.0
TODO: ON [PRIMARY];plugins/mssql/src/net/sourceforge/squirrel_sql/plugins/mssql/util/MssqlIntrospector.java;772;5.066.666.666.666.660
TODO: should the constraint name simply be the column name or something more like a constraint;fw/src/net/sourceforge/squirrel_sql/fw/dialects/DB2DialectExt.java;290;40.0
TODO: create the child index ST;fw/src/net/sourceforge/squirrel_sql/fw/dialects/SybaseDialectExt.java;546;40.0
TODO: - Col - Add method to Databasemetadata that returns array;app/src/net/sourceforge/squirrel_sql/client/session/mainpanel/objecttree/tabs/table/ContentsTab.java;222;40.0
the new function. THis way all the kludges are kept in one place.;app/src/net/sourceforge/squirrel_sql/client/session/mainpanel/objecttree/tabs/table/ContentsTab.java;224;40.0
of objects for getBestRowIdentifier. For PostgreSQL put this kludge in;app/src/net/sourceforge/squirrel_sql/client/session/mainpanel/objecttree/tabs/table/ContentsTab.java;223;40.0
KLUDGE!!!!!!;app/src/net/sourceforge/squirrel_sql/client/session/mainpanel/objecttree/tabs/table/ContentsTab.java;226;40.0
KLUDGE:;app/src/net/sourceforge/squirrel_sql/client/session/mainpanel/objecttree/tabs/table/ContentsTab.java;350;40.0
implemented.  This kludge hardcodes the knowledge that specific;app/src/net/sourceforge/squirrel_sql/client/session/mainpanel/objecttree/tabs/table/ContentsTab.java;230;40.0
BAD - Converting a URL to a file this way is problematic when the file path contains spaces;test/adhoc/test/FileUriTest.java;45;40.0
* TODO: Move this to IOUtilities Extracts the specified zip file to the specified output directory.  *   * @param zipFile  * @param outputDirectory  * @throws IOException;app/src/net/sourceforge/squirrel_sql/client/update/UpdateUtilImpl.java;776-782;40.0
TODO?? ColumnDisplayDefinition should also have the Type (String, Date,;fw/src/net/sourceforge/squirrel_sql/fw/datasetviewer/ResultSetDataSet.java;249;36.666.666.666.666.600
TODO: pass in a message handler so user gets error msgs.;app/src/net/sourceforge/squirrel_sql/client/Application.java;736;26.666.666.666.666.600
Total Hack! Type OTHER(1111) can be other types as well?;fw/src/net/sourceforge/squirrel_sql/fw/dialects/OracleDialectExt.java;82;20.0
TODO: This is a nasty quick hack. Needs an API to do this.;app/src/net/sourceforge/squirrel_sql/client/gui/mainframe/MainFrameMenuBar.java;526;20.0
TODO: figure out a more reliable way to handle OTHER type;plugins/dbcopy/src/net/sourceforge/squirrel_sql/plugins/dbcopy/util/DBUtil.java;960;20.0
TODO Probably want to allow the user to set these sequence properties ??;fw/src/net/sourceforge/squirrel_sql/fw/dialects/DialectUtils.java;2800;20.0
TODO: FILLFACTOR, ON [PRIMARY], etc.;plugins/mssql/src/net/sourceforge/squirrel_sql/plugins/mssql/util/MssqlIntrospector.java;731;11.0
TODO: Perhaps re-introduce the REAL type, but use the new;fw/src/net/sourceforge/squirrel_sql/fw/dialects/AxionDialectExt.java;78;10.0
TODO: Delete Me;app/src/net/sourceforge/squirrel_sql/client/session/SessionFactory.java;20;10.0
TODO: consider filing a bug report against Axion build M3.;fw/src/net/sourceforge/squirrel_sql/fw/dialects/AxionDialectExt.java;56;10.0
TODO;test/src/net/sourceforge/squirrel_sql/fw/dialects/DialectFactoryTest.java;72;10.0
TODO;test/src/net/sourceforge/squirrel_sql/fw/sql/ResultSetColumnReaderTest.java;84;10.0
TODO;test/src/net/sourceforge/squirrel_sql/plugins/mssql/TableConstraintsTest.java;61;10.0
Can someone please tell me why Axion expects big integers to be limited;fw/src/net/sourceforge/squirrel_sql/fw/dialects/AxionDialectExt.java;52;10.0
* TODO: hookup with Interbase spec and adjust these as necessary.;fw/src/net/sourceforge/squirrel_sql/fw/dialects/InterbaseDialectExt.java;45-47;10.0
TODO: Setup title correctly.;app/src/net/sourceforge/squirrel_sql/client/session/properties/SessionPropertiesSheet.java;194;6.666.666.666.666.660
"TODO: if the use checks ""export entire table"" and doesn't select all,";fw/src/net/sourceforge/squirrel_sql/fw/gui/action/TableExportCsvCommand.java;113;6.666.666.666.666.660
"﻿""work-around for bug which means we must use """"dbo"""" for schema""";fw/src/net/sourceforge/squirrel_sql/fw/sql/SQLDatabaseMetaData.java;85;0.0
without limiting it, and do that read if needed.  If there is a problem during the;fw/src/net/sourceforge/squirrel_sql/fw/datasetviewer/MyTableModel.java;57;0.0
Why null??;app/src/net/sourceforge/squirrel_sql/client/session/mainpanel/ResultTab.java;266;0.0
way to fix this problem, but it hides the problem for now.  A better;app/src/net/sourceforge/squirrel_sql/client/session/mainpanel/objecttree/ObjectTreePanel.java;1093;0.0
