SATD;Path;Line;Priority
"ISSUES:  - ns param. It could be used to provide ""namespaces"" for properties- which  may be more flexible.  - Object value. In ant1.5 String is used for Properties - but it would be nice  to support generic Objects (the property remains immutable - you can't change  the associated object). This will also allow JSP-EL style setting using the  Object if an attribute contains only the property (name=""${property}"" could  avoid Object->String->Object conversion)  - Currently we ""chain"" only for get and set property (probably most users  will only need that - if they need more they can replace the top helper).  Need to discuss this and find if we need more.";ApacheAnt-1.7.0/src/main/org/apache/tools/ant/PropertyHelper.java;26-37;1.0
"* Generates Javadoc documentation for a collection  * of source code.  *  * <p>Current known limitations are:  *  * <p><ul>  *    <li>patterns must be of the form ""xxx.*""- every other pattern doesn't  *        work.  *    <li>there is no control on arguments sanity since they are left  *        to the Javadoc implementation.  * </ul>  *  * <p>If no <code>doclet</code> is set- then the <code>version</code> and  * <code>author</code> are by default <code>""yes""</code>.  *  * <p>Note: This task is run on another VM because the Javadoc code calls  * <code>System.exit()</code> which would break Ant functionality.  *  * @since Ant 1.1  *  * @ant.task category=""java""";ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/Javadoc.java;53-75;0.7124824684431977
@fixme as of now does not report the original stacktrace.;ApacheAnt-1.7.0/src/tests/junit/org/apache/tools/ant/taskdefs/optional/junit/JUnitTestRunnerTest.java;85;0.2613370733987845
TODO: I have no idea how to get it- someone must fix it;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/Execute.java;246;0.11173445535296868
TODO there is a problem with the constructor for the RBC.;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/types/selectors/modifiedselector/ModifiedSelector.java;359;0.11173445535296868
XXX I really don't like this - the XML processor is still              * too 'involved' in the processing. A better solution (IMO)              * would be to create UE for Project and Target too- and              * then process the tree and have Project/Target deal with              * its attributes ( similar with Description ).              *              * If we eventually switch to ( or add support for ) DOM-              * things will work smoothly - UE can be avoided almost completely              * ( it could still be created on demand- for backward compatibility );ApacheAnt-1.7.0/src/main/org/apache/tools/ant/helper/ProjectHelper2.java;673-682;0.10394265232974911
XXX add exceptions;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/Classloader.java;235;0.09615084930652952
implementing this requires a small hack- we can add it later.;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/util/LazyHashtable.java;119;0.06498363721365123
* Executes the task.      *      * @exception BuildException if there is an execution problem.      * @todo validate that if either in or our is defined- then both are;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/XSLTProcess.java;259-264;0.06124357176250585
* TODO:  * comment field doesn't include all options yet;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/clearcase/CCLock.java;27-30;0.057971014492753624
* TODO:  * comment field doesn't include all options yet;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/clearcase/CCUnlock.java;26-29;0.0565684899485741
XXX task.setTaskType(tag)-;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/helper/ProjectHelperImpl.java;742;0.055633473585787754
* get a filename from our jsp file.      * @param mangler the jsp filename managler.      * @param srcFile the source file.      * @param srcDir  the source directory.      * @param dest    the destination directory.      * @return the filename.      * @todo support packages and subdirs;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jsp/JspC.java;626-634;0.055633473585787754
"Synchronize client space to a Perforce depot view.  *  *  The API allows additional functionality of the ""p4 sync"" command  * (such as ""p4 sync -f //...#have"" or other exotic invocations).</P>  *  * <b>Example Usage:</b>  * <table border=""1"">  * <th>Function</th><th>Command</th>  * <tr><td>Sync to head using P4USER- P4PORT and P4CLIENT settings specified</td>  * <td>&lt-P4Sync <br>P4view=""//projects/foo/main/source/..."" <br>  * P4User=""fbloggs"" <br>P4Port=""km01:1666"" <br>P4Client=""fbloggsclient"" /&gt-</td></tr>  * <tr><td>Sync to head using P4USER- P4PORT and P4CLIENT settings defined in environment</td>  * <td>&lt-P4Sync P4view=""//projects/foo/main/source/..."" /&gt-</td></tr>  * <tr><td>Force a re-sync to head- refreshing all files</td>  * <td>&lt-P4Sync force=""yes"" P4view=""//projects/foo/main/source/..."" /&gt-</td></tr>  * <tr><td>Sync to a label</td><td>&lt-P4Sync label=""myPerforceLabel"" /&gt-</td></tr>  * </table>  *  * @todo Add decent label error handling for non-exsitant labels  *  * @ant.task category=""scm""";ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4Sync.java;29-50;0.055633473585787754
This is ugly- checking for the root folder.;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/scm/AntStarTeamCheckOut.java;324;0.055633473585787754
why do we do nothing?;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/ssh/SSHUserInfo.java;184;0.055633473585787754
* Set the type of arc.      * @param strType the type to use - open- pie or chord.      * @todo refactor using an EnumeratedAttribute;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/types/optional/image/Arc.java;70-74;0.055633473585787754
workaround for Java 1.2-1.3;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/util/FileUtils.java;1458;0.055633473585787754
whole build. IMHO this method should be avoided and it would be best;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jdepend/JDependTask.java;438;0.053607604799750665
The line below is a hack: the system id must an URI- but it is not;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/TraXLiaison.java;266;0.03693314633006078
"FIXME: Is ""No Namespace is Empty Namespace"" really OK?";ApacheAnt-1.7.0/src/main/org/apache/tools/ant/util/DOMElementWriter.java;572;0.03693314633006078
FIXME this is actually not very cpu cycles friendly as we are converting from;ApacheAnt-1.7.0/src/main/org/apache/tools/zip/ZipFile.java;284;0.03693314633006078
XXX ignore attributes in a different NS ( maybe store them ? );ApacheAnt-1.7.0/src/main/org/apache/tools/ant/helper/ProjectHelper2.java;721;0.033037244818450995
XXX is the following really necessary? it is in the same thread group...;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/ExecuteJava.java;157;0.03225806451612903
XXX Unfortunately JDK1.2 adds entrySet()- keySet()- values() -;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/util/LazyHashtable.java;118;0.03225806451612903
XXX - log an error?  throw an exception?;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/Jar.java;308;0.02758298270219729
* Run the task.      * @throws BuildException The exception raised during task execution.      * @todo validate the source file is valid before opening- print a better error message      * @todo add a verbose level log message listing the name of the file being loaded;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/XmlProperty.java;224-229;0.02758298270219729
This is the new- better way - use classespath instead;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/jdepend/JDependTask.java;474;0.025245441795231416
Version to use for addXXX and addConfiguredXXX;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/IntrospectionHelper.java;1279;0.0182328190743338
"Checkout files for deletion.  *  * Example Usage:<br>  * &lt-p4delete change=""${p4.change}"" view=""//depot/project/foo.txt"" /&gt-<br>  *  * Simple re-write of P4Edit changing 'edit' to 'delete'.<br>  *  * @todo What to do if file is already open in one of our changelists perhaps  * (See also {@link P4Edit P4Edit})?<br>  *  * @ant.task category=""scm""";ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4Delete.java;22-33;0.0182328190743338
XXX - should throw an exception instead?;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/util/RegexpPatternMapper.java;140;0.0182328190743338
XXX - should throw an exception instead?;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/util/regexp/JakartaOroRegexp.java;64;0.0182328190743338
XXX - should throw an exception instead?;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/util/regexp/JakartaRegexpRegexp.java;76;0.0182328190743338
XXX - should throw an exception instead?;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/util/regexp/Jdk14RegexpRegexp.java;77;0.0182328190743338
"REVIEW Would a better check be ""(File.separator == '\')""?";ApacheAnt-1.7.0/src/main/org/apache/tools/tar/TarEntry.java;211;0.0182328190743338
***HACK*** We ask the VM to create an instance;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/AntClassLoader.java;583;0.015116097865045973
XXX: (Jon Skeet) Any reason for writing a message and then using a bare;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/Main.java;772;0.011999376655758143
TODO: nothing appears to read this but is set using a public setter.;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/Execute.java;67;0.011999376655758143
PR: Hack for ant-type value;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/helper/ProjectHelper2.java;1035;0.008882655446470314
XXX;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/JikesOutputParser.java;124;0.008882655446470314
TODO:;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/JikesOutputParser.java;127;0.008882655446470314
be much better.;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/JikesOutputParser.java;130;0.008882655446470314
after execution finished- which is much better for long-lived runtimes;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/ExecuteJava.java;320;0.008882655446470314
run with no exit for better reporting;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/ejb/EjbcHelper.java;254;0.008882655446470314
* Specifies the value of the force argument- optional.      * If set to <i>yes</i> all files that exists and are      * writable are overwritten. Default <i>no</i> causes the files      * that are writable to be ignored. This stops the PVCS command      * <i>get</i> to stop asking questions!      * @todo make a boolean setter      * @param f String (yes/no);ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/pvcs/Pvcs.java;519-527;0.008882655446470314
Try a silly case;ApacheAnt-1.7.0/src/tests/junit/org/apache/tools/ant/util/GlobPatternMapperTest.java;54;0.008882655446470314
Try a silly case;ApacheAnt-1.7.0/src/tests/junit/org/apache/tools/ant/util/GlobPatternMapperTest.java;70;0.008882655446470314
Our current message output status. Follows Project.MSG_XXX.;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/Main.java;56;0.004207573632538569
XXX is this code still necessary? is there any 1.2+ port?;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/types/Path.java;587;0.004207573632538569
* Convert a color name to a color value.      * @param colorName a string repr of the color.      * @return the color value.      * @todo refactor to use an EnumeratedAttribute (maybe?);ApacheAnt-1.7.0/src/main/org/apache/tools/ant/types/optional/image/ColorMapper.java;65-70;0.004207573632538569
* Create a new document builder. Will issue an <tt>ExceptionInitializerError</tt>      * if something is going wrong. It is fatal anyway.      * @todo factorize this somewhere else. It is duplicated code.      * @return a new document builder to create a DOM;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/junit/XMLResultAggregator.java;314-319;0.0023375409069658717
