TODO: remove either MATCH or CONTAINS - they;ResponseAssertion.java;jmeter-2_6/src/components/org/apache/jmeter/assertions;72;Java Task
TODO support multiple signers;SMIMEAssertion.java;jmeter-2_6/src/components/org/apache/jmeter/assertions;254;Technical Debt
TODO support multiple signers;SMIMEAssertion.java;jmeter-2_6/src/components/org/apache/jmeter/assertions;254;Java Task
TODO strings should be resources;ResponseAssertion.java;jmeter-2_6/src/components/org/apache/jmeter/assertions;374;Technical Debt
TODO strings should be resources;ResponseAssertion.java;jmeter-2_6/src/components/org/apache/jmeter/assertions;374;Java Task
TODO replace with proper Exception;HTMLAssertion.java;jmeter-2_6/src/components/org/apache/jmeter/assertions;122;Technical Debt
TODO replace with proper Exception;HTMLAssertion.java;jmeter-2_6/src/components/org/apache/jmeter/assertions;176;Technical Debt
TODO replace with proper Exception;HTMLAssertion.java;jmeter-2_6/src/components/org/apache/jmeter/assertions;122;Java Task
TODO replace with proper Exception;HTMLAssertion.java;jmeter-2_6/src/components/org/apache/jmeter/assertions;176;Java Task
TODO is this the correct strategy?;XMLSchemaAssertion.java;jmeter-2_6/src/components/org/apache/jmeter/assertions;205;Java Task
TODO - charset?;XMLAssertion.java;jmeter-2_6/src/components/org/apache/jmeter/assertions;67;Technical Debt
TODO - charset?;XMLAssertion.java;jmeter-2_6/src/components/org/apache/jmeter/assertions;67;Java Task
result.setError(true)- // TODO is this the correct strategy?;XMLSchemaAssertion.java;jmeter-2_6/src/components/org/apache/jmeter/assertions;205;Technical Debt
but we do trap this error to make tests work better;BeanShellAssertion.java;jmeter-2_6/src/components/org/apache/jmeter/assertions;117;Technical Debt
*************************************************************************      * !ToDoo (Method description)      *      * @return !ToDo (Return description)      *************************************************************************;ResponseAssertion.java;jmeter-2_6/src/components/org/apache/jmeter/assertions;193-197;Technical Debt
*************************************************************************      * !ToDoo (Method description)      *      * @return !ToDo (Return description)      *************************************************************************;ResponseAssertion.java;jmeter-2_6/src/components/org/apache/jmeter/assertions;202-206;Technical Debt
*************************************************************************      * !ToDoo (Method description)      *      * @return !ToDo (Return description)      *************************************************************************;ResponseAssertion.java;jmeter-2_6/src/components/org/apache/jmeter/assertions;215-219;Technical Debt
* Mask values for TEST_TYPE TODO: remove either MATCH or CONTAINS - they      * are mutually exckusive;ResponseAssertion.java;jmeter-2_6/src/components/org/apache/jmeter/assertions;71-74;Technical Debt
TODO ought to be a FileChooser ...;BeanShellAssertionGui.java;jmeter-2_6/src/components/org/apache/jmeter/assertions/gui;85;Technical Debt
TODO ought to be a FileChooser ...;BeanShellAssertionGui.java;jmeter-2_6/src/components/org/apache/jmeter/assertions/gui;85;Java Task
TODO: fetch this once as per vars above?;CSVDataSet.java;jmeter-2_6/src/components/org/apache/jmeter/config;143;Technical Debt
TODO: fetch this once as per vars above?;CSVDataSet.java;jmeter-2_6/src/components/org/apache/jmeter/config;143;Java Task
TODO need to find better way to do this;CSVDataSetBeanInfo.java;jmeter-2_6/src/components/org/apache/jmeter/config;96;Technical Debt
TODO need to find better way to do this;CSVDataSetBeanInfo.java;jmeter-2_6/src/components/org/apache/jmeter/config;96;Java Task
TODO - report unused columns?;CSVDataSet.java;jmeter-2_6/src/components/org/apache/jmeter/config;162;Technical Debt
TODO - report unused columns?;CSVDataSet.java;jmeter-2_6/src/components/org/apache/jmeter/config;162;Java Task
TODO - provide option to set unused variables ?;CSVDataSet.java;jmeter-2_6/src/components/org/apache/jmeter/config;163;Technical Debt
TODO - provide option to set unused variables ?;CSVDataSet.java;jmeter-2_6/src/components/org/apache/jmeter/config;163;Java Task
These variable names must have .displayName properties and agree with the getXXX()/setXXX() methods;RandomVariableConfigBeanInfo.java;jmeter-2_6/src/components/org/apache/jmeter/config;32;Technical Debt
TODO ?? (JMeterTreeNode) selectedNode.clone()-;ModuleController.java;jmeter-2_6/src/components/org/apache/jmeter/control;72;Technical Debt
TODO ?? (JMeterTreeNode) selectedNode.clone()-;ModuleController.java;jmeter-2_6/src/components/org/apache/jmeter/control;72;Java Task
TODO - fix so that this is only called once per test- instead of at every clone;IncludeController.java;jmeter-2_6/src/components/org/apache/jmeter/control;68;Technical Debt
TODO - fix so that this is only called once per test- instead of at every clone;IncludeController.java;jmeter-2_6/src/components/org/apache/jmeter/control;68;Java Task
TODO: validate contentType for reasonable types?;XPathExtractor.java;jmeter-2_6/src/components/org/apache/jmeter/extractor;285;Technical Debt
TODO: validate contentType for reasonable types?;XPathExtractor.java;jmeter-2_6/src/components/org/apache/jmeter/extractor;285;Java Task
TODO - should we skip processing here?;BeanShellPostProcessor.java;jmeter-2_6/src/components/org/apache/jmeter/extractor;52;Technical Debt
TODO - should we skip processing here?;BeanShellPostProcessor.java;jmeter-2_6/src/components/org/apache/jmeter/extractor;52;Java Task
TODO: should this be clearData()?;MailerModel.java;jmeter-2_6/src/components/org/apache/jmeter/reporters;224;Technical Debt
TODO: should this be clearData()?;MailerModel.java;jmeter-2_6/src/components/org/apache/jmeter/reporters;224;Java Task
TODO: or obtain text from bean's displayName or shortDescription.;ConstantThroughputTimer.java;jmeter-2_6/src/components/org/apache/jmeter/timers;213;Java Task
TODO: Is this ever used? I can't remember where. Remove if it isn't --;ConstantThroughputTimer.java;jmeter-2_6/src/components/org/apache/jmeter/timers;212;Java Task
TODO need to find better way to do this;ConstantThroughputTimerBeanInfo.java;jmeter-2_6/src/components/org/apache/jmeter/timers;59;Technical Debt
TODO need to find better way to do this;ConstantThroughputTimerBeanInfo.java;jmeter-2_6/src/components/org/apache/jmeter/timers;59;Java Task
TODO find better way to get modeInt;ConstantThroughputTimer.java;jmeter-2_6/src/components/org/apache/jmeter/timers;114;Technical Debt
TODO find better way to get modeInt;ConstantThroughputTimer.java;jmeter-2_6/src/components/org/apache/jmeter/timers;114;Java Task
TODO - is this used? (apart from test code);ConstantThroughputTimer.java;jmeter-2_6/src/components/org/apache/jmeter/timers;144;Technical Debt
TODO - is this used? (apart from test code);ConstantThroughputTimer.java;jmeter-2_6/src/components/org/apache/jmeter/timers;144;Java Task
* Provide a description of this timer class.      *      * TODO: Is this ever used? I can't remember where. Remove if it isn't --      * TODO: or obtain text from bean's displayName or shortDescription.      *      * @return the description of this timer class.;ConstantThroughputTimer.java;jmeter-2_6/src/components/org/apache/jmeter/timers;209-216;Technical Debt
